chr10	PYROXD2	100150766	100150839	100150627	100150839	-
chr10	PYROXD2	100170695	100170715	100170369	100170715	-
chr10	HPS1	100193739	100193848	100193696	100193848	-
chr10	SLC25A28	101373452	101373681	101373172	101373681	-
chr10	PAX2	102541002	102541098	102541002	102541122	+
chr10	SEMA4G	102740578	102740739	102740578	102740754	+
chr10	C10orf2	102747292	102747370	102747292	102749210	+
chr10	C10orf2	102750192	102750300	102750192	102750420	+
chr10	C10orf2	102750625	102750767	102750625	102750811	+
chr10	POLL	103342519	103342648	103342377	103342648	-
chr10	POLL	103344634	103344676	103344358	103344676	-
chr10	POLL	103347641	103348027	103347578	103348027	-
chr10	POLL	103347960	103348027	103347578	103348027	-
chr10	POLL	103347960	103348027	103347641	103348027	-
chr10	KCNIP2	103588157	103588216	103588145	103588216	-
chr10	NOLC1	103918949	103919065	103918949	103919095	+
chr10	GBF1	104136691	104136885	104136691	104136897	+
chr10	CALHM2	105209156	105209856	105209143	105209856	-
chr10	IDI2-AS1	1081229	1081362	1081229	1081446	+
chr10	CELF2	11356101	11356221	11356101	11356233	+
chr10	TCF7L2	114903681	114903772	114903681	114903784	+
chr10	WDR37	1151065	1151181	1151065	1151207	+
chr10	PLEKHS1	115515017	115515064	115515017	115515164	+
chr10	PLEKHS1	115534584	115534752	115534584	115534794	+
chr10	VWA2	116044621	116044729	116044621	116044733	+
chr10	AFAP1L2	116056990	116057172	116056978	116057172	-
chr10	ABLIM1	116200776	116200836	116200775	116200836	-
chr10	PNLIPRP2	118383456	118383610	118383456	118383620	+
chr10	CASC2	119809022	119809065	119809022	119809128	+
chr10	MCMBP	121602765	121602938	121602759	121602938	-
chr10	SEC23IP	121680400	121680496	121680400	121680587	+
chr10	FGFR2	123274636	123274833	123274630	123274833	-
chr10	TACC2	123847992	123848106	123847992	123848253	+
chr10	CPXM2	125528041	125528238	125527982	125528238	-
chr10	METTL10	126477611	126477726	126477607	126477726	-
chr10	ADAM12	127843795	127843874	127843786	127843874	-
chr10	DOCK1	129237290	129237489	129237290	129237502	+
chr10	PPP2R2D	133754085	133754198	133754085	133754345	+
chr10	PWWP2B	134218129	134219490	134218129	134219793	+
chr10	GPR123	134940736	134940832	134940736	134940835	+
chr10	PRAP1	135165510	135165617	135165510	135165644	+
chr10	BEND7	13541777	13542080	13541738	13542080	-
chr10	CDNF	14867492	14867619	14867477	14867619	-
chr10	SUV39H2	14938844	14938976	14938844	14939516	+
chr10	RPP38	15139178	15139408	15139178	15139765	+
chr10	NEBL	21108352	21108445	21107632	21108445	-
chr10	MLLT10	21823100	21823423	21823100	21823449	+
chr10	RAB18	27798803	27798849	27798803	27798859	+
chr10	MPP7	28348578	28348672	28348444	28348672	-
chr10	LINC00837	29084822	29084979	29084701	29084979	-
chr10	PITRM1	3190362	3190483	3190359	3190483	-
chr10	CCDC7	32735040	32735325	32735040	32735559	+
chr10	NRP1	33491839	33491923	33491818	33491923	-
chr10	PARD3	34626205	34626354	34626202	34626354	-
chr10	PARD3	34626292	34626354	34626202	34626354	-
chr10	PARD3	34626292	34626354	34626205	34626354	-
chr10	PARD3	34636892	34637043	34636883	34637043	-
chr10	CUL2	35363119	35363258	35363006	35363258	-
