chr7	Yif1b	29238322	29238436	29238322	29238445	+
chr9	Foxred1	35209944	35210165	35209939	35210165	-
chr3	Dennd2c	103146511	103146556	103146511	103146560	+
chr11	Mis12	71019610	71019723	71019610	71020189	+
chr4	Plk3	117131112	117131153	117131061	117131153	-
chr9	Dnmt1	20941372	20941583	20941351	20941583	-
chr9	Gtf2a2	70012547	70012661	70012547	70012952	+
chr10	Dgka	128730190	128730259	128730161	128730259	-
chr5	Oas1g	120881884	120882069	120881823	120882069	-
chr13	Tmem161b	84283984	84284125	84283984	84284185	+
chr1	Rab3gap2	185266900	185267014	185266900	185267074	+
chr3	Rfx5	94955014	94955136	94955014	94955146	+
chr2	Hnf4a	163568886	163569009	163568886	163569039	+
chr12	Pacs2	113061072	113061205	113061072	113061211	+
chr2	Abhd12	150838314	150838394	150838310	150838394	-
chr10	Pym1	128765146	128765240	128765146	128765391	+
chr10	Zbtb24	41455672	41455756	41455672	41455772	+
chrX_GL456233_random	Vamp7	32494	32584	32429	32584	-
chr3	Mccc1	35989843	35989965	35989832	35989965	-
chr11	Ncor1	62349394	62349493	62349352	62349493	-
chr11	Ncor1	62354382	62354472	62354370	62354472	-
chr11	Ncor1	62378514	62378654	62378496	62378654	-
chr1	Rbbp5	132497929	132498007	132497929	132498121	+
chr5	Rad9b	122352545	122352614	122352543	122352614	-
chr16	Tbx1	18586539	18586969	18586535	18586969	-
chrX	Prps2	167374002	167374186	167373993	167374186	-
chr10	Stat2	128282711	128282805	128282711	128282814	+
chr13	Hecw1	14316058	14317360	14316016	14317360	-
chr4	Pole3	62524749	62524835	62524609	62524835	-
chr6	Mbd4	115848905	115849732	115848394	115849732	-
chr4	Nfib	82323571	82323710	82323544	82323710	-
chr15	Smgc	91856551	91856638	91856551	91856641	+
chr15	Smgc	91860269	91860434	91860269	91860449	+
chr3	Plppr5	117671899	117672019	117671899	117672034	+
chr5	Bmp3	98872029	98872934	98872029	98873007	+
chr5	1700095B10Rik	112795414	112795501	112795414	112795598	+
chr19	Dagla	10271010	10271199	10270987	10271199	-
chr10	Grin3b	79976053	79976117	79976053	79976205	+
chr15	Slc45a4	73587544	73587724	73587520	73587724	-
chr11	Trpv1	73241605	73241755	73241605	73241785	+
chr18	Fbxo15	84964108	84964191	84964108	84965060	+
chr12	Psma3	70978732	70978815	70978732	70978839	+
chr1	Prrc2c	162674102	162674151	162674098	162674151	-
chr1	Prrc2c	162679499	162679607	162679484	162679607	-
chr1	Prrc2c	162721444	162721539	162721429	162721539	-
